created_at,entry_id,Temperature,RH Humidity,Usable Light Index,Atmosphere hPa,Voltage Charge,was_interpolated
2025-03-19 15:01:59+00:00,3242057,22,22,0,1005,12.51,False
2025-03-19 15:02:29+00:00,3242058,22,22,0,1005,12.61,False
2025-03-19 15:02:59+00:00,3242059,22,22,0,1005,12.51,False
2025-03-19 15:03:29+00:00,3242060,22,22,0,1005,12.58,False
2025-03-19 15:04:00+00:00,3242061,22,22,0,1005,12.54,False
2025-03-19 15:04:30+00:00,3242062,22,22,0,1005,12.51,False
2025-03-19 15:05:00+00:00,3242063,22,22,0,1005,12.51,False
2025-03-19 15:05:31+00:00,3242064,22,22,0,1005,12.58,False
2025-03-19 15:06:01+00:00,3242065,22,22,0,1005,12.61,False
2025-03-19 15:06:31+00:00,3242066,22,22,0,1005,12.58,False
2025-03-19 15:07:02+00:00,3242067,22,22,0,1005,12.51,False
2025-03-19 15:07:32+00:00,3242068,22,22,0,1005,12.51,False
2025-03-19 15:08:02+00:00,3242069,22,22,0,1005,12.54,False
2025-03-19 15:08:33+00:00,3242070,22,22,0,1005,12.54,False
2025-03-19 15:09:03+00:00,3242071,22,22,0,1005,12.54,False
2025-03-19 15:09:34+00:00,3242072,22,22,0,1005,12.51,False
2025-03-19 15:10:04+00:00,3242073,22,22,0,1005,12.58,False
2025-03-19 15:10:35+00:00,3242074,22,22,0,1005,12.51,False
2025-03-19 15:11:05+00:00,3242075,22,22,0,1005,12.61,False
2025-03-19 15:11:36+00:00,3242076,22,22,0,1005,12.54,False
2025-03-19 15:12:06+00:00,3242077,22,22,0,1005,12.51,False
2025-03-19 15:12:37+00:00,3242078,22,22,0,1005,12.51,False
2025-03-19 15:13:07+00:00,3242079,22,22,0,1005,12.61,False
2025-03-19 15:13:38+00:00,3242080,22,22,0,1005,12.51,False
2025-03-19 15:14:08+00:00,3242081,22,22,0,1005,12.51,False
2025-03-19 15:14:39+00:00,3242082,22,22,0,1005,12.51,False
2025-03-19 15:15:09+00:00,3242083,22,22,0,1005,12.58,False
2025-03-19 15:15:40+00:00,3242084,22,22,0,1005,12.51,False
2025-03-19 15:16:10+00:00,3242085,22,22,0,1005,12.51,False
2025-03-19 15:16:41+00:00,3242086,22,22,0,1005,12.58,False
2025-03-19 15:17:11+00:00,3242087,22,22,0,1005,12.68,False
2025-03-19 15:17:42+00:00,3242088,22,22,0,1005,12.51,False
2025-03-19 15:18:12+00:00,3242089,22,22,0,1005,12.51,False
2025-03-19 15:18:43+00:00,3242090,22,22,0,1005,12.51,False
2025-03-19 15:19:13+00:00,3242091,22,22,0,1005,12.51,False
2025-03-19 15:19:44+00:00,3242092,22,22,0,1005,12.51,False
2025-03-19 15:20:14+00:00,3242093,22,22,0,1005,12.47,False
2025-03-19 15:20:45+00:00,3242094,22,22,0,1005,12.61,False
2025-03-19 15:21:15+00:00,3242095,22,22,0,1005,12.51,False
2025-03-19 15:21:46+00:00,3242096,22,22,0,1005,12.51,False
2025-03-19 15:22:16+00:00,3242097,22,22,0,1005,12.51,False
2025-03-19 15:22:47+00:00,3242098,22,22,0,1005,12.51,False
2025-03-19 15:23:17+00:00,3242099,22,22,0,1005,12.51,False
